id,text,difficulty,expected_intents,expected_domain,keyword_intents,keyword_domain,keyword_start_date,keyword_end_date,llm_intents,llm_domain,llm_start_date,llm_end_date,reconciled_intents,reconciled_domain,reconciled_start_date,reconciled_end_date,final_intents,final_domain,final_start_date,final_end_date,selected_step,final_primary_ok,final_full_ok,final_intent_recall,final_intent_precision,final_intent_f1,keyword_primary_ok,llm_primary_ok,reconciled_primary_ok
1,昨天吃了多少蛋白质？,simple,data_query,nutrition,data_query,nutrition,,,data_query,nutrition,2026-08-22,2026-08-22,data_query,nutrition,2026-08-22,2026-08-22,data_query,nutrition,2026-08-22,2026-08-22,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
2,今天热量摄入多少？,simple,data_query,nutrition,data_query,nutrition,,,data_query,nutrition,2026-08-23,2026-08-23,data_query,nutrition,2026-08-23,2026-08-23,data_query,nutrition,2026-08-23,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
3,查询今天体重,simple,data_query,body,data_query,body,,,data_query,body,2026-08-23,2026-08-23,data_query,body,2026-08-23,2026-08-23,data_query,body,2026-08-23,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
4,昨天训练了吗,simple,data_query,fitness,data_query,fitness,,,data_query,fitness,2026-08-22,2026-08-22,data_query,fitness,2026-08-22,2026-08-22,data_query,fitness,2026-08-22,2026-08-22,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
5,前天碳水吃了多少,simple,data_query,nutrition,data_query,,,,data_query,nutrition,2026-08-21,2026-08-21,data_query,nutrition,2026-08-21,2026-08-21,data_query,nutrition,2026-08-21,2026-08-21,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
6,午餐吃了什么,simple,data_query,nutrition,general,,,,data_query,nutrition,,,data_query,nutrition,,,data_query,nutrition,,,llm_reconciled,True,True,1.0,1.0,1.0,False,True,True
7,我最近的体脂是多少,simple,data_query,body,data_query,,,,data_query,body,,,data_query,body,,,data_query,body,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
8,今天脂肪摄入超标了吗,simple,data_query,nutrition,data_query,,,,data_query,nutrition,2026-08-23,2026-08-23,data_query,nutrition,2026-08-23,2026-08-23,data_query,nutrition,2026-08-23,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
9,我的体重现在多少kg,simple,data_query,body,data_query,,,,data_query,body,,,data_query,body,,,data_query,body,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
10,昨天摄入总热量,simple,data_query,nutrition,data_query,nutrition,,,data_query,nutrition,2026-08-22,2026-08-22,data_query,nutrition,2026-08-22,2026-08-22,data_query,nutrition,2026-08-22,2026-08-22,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
11,今天吃了几个鸡蛋,simple,data_query,nutrition,data_query,nutrition,,,data_query,nutrition,2026-08-23,2026-08-23,data_query,nutrition,2026-08-23,2026-08-23,data_query,nutrition,2026-08-23,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
12,昨天有没有记录体重,simple,data_query,body,manual_entry,body,2026-08-22,2026-08-22,data_query,body,2026-08-22,2026-08-22,data_query,body,2026-08-22,2026-08-22,data_query,body,2026-08-22,2026-08-22,llm_reconciled,True,True,1.0,1.0,1.0,False,True,True
13,今天练腿了吗,simple,data_query,fitness,data_query,,,,data_query,fitness,2026-08-23,2026-08-23,data_query,fitness,2026-08-23,2026-08-23,data_query,fitness,2026-08-23,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
14,8月21号深蹲做了多少组,simple,data_query,fitness,data_query,,,,data_query,fitness,2026-08-21,2026-08-21,data_query,fitness,2026-08-21,2026-08-21,data_query,fitness,2026-08-21,2026-08-21,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
15,查询零食吃了什么,simple,data_query,nutrition,data_query,nutrition,,,data_query,nutrition,,,data_query,nutrition,,,data_query,nutrition,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
16,昨天卧推重量多少,simple,data_query,fitness,data_query,,,,data_query,fitness,2026-08-22,2026-08-22,data_query,fitness,2026-08-22,2026-08-22,data_query,fitness,2026-08-22,2026-08-22,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
17,今天早餐记录有哪些,simple,data_query,nutrition,data_query,,,,data_query,nutrition,2026-08-23,2026-08-23,data_query,nutrition,2026-08-23,2026-08-23,data_query,nutrition,2026-08-23,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
18,查询2026-08-20训练详情,simple,data_query,fitness,data_query,fitness,,,data_query,fitness,2026-08-20,2026-08-20,data_query,fitness,2026-08-20,2026-08-20,data_query,fitness,2026-08-20,2026-08-20,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
