id,query,difficulty,domain,expected_source_ids,retrieved_source_ids,retrieved_similarities,recall_at_k,precision_at_k,hit_at_k,mrr,top1_ok
rag-001,8月1日体重多少,simple,body,2026-08-01,2026-08-01|2026-08-02|2026-08-03|2026-08-04|2026-08-06,0.816|0.408|0.408|0.408|0.408,1.0,0.2,True,1.0,True
rag-002,8月3日体重多少,simple,body,2026-08-03,2026-08-03|2026-08-01|2026-08-02|2026-08-04|2026-08-06,0.816|0.408|0.408|0.408|0.408,1.0,0.2,True,1.0,True
rag-003,8月5日体重多少,simple,body,2026-08-05,2026-08-05|2026-08-01|2026-08-02|2026-08-03|2026-08-04,0.707|0.408|0.408|0.408|0.408,1.0,0.2,True,1.0,True
rag-004,8月7日体重多少,simple,body,2026-08-07,2026-08-07|2026-08-01|2026-08-02|2026-08-03|2026-08-04,0.816|0.408|0.408|0.408|0.408,1.0,0.2,True,1.0,True
rag-005,8月9日体重多少,simple,body,2026-08-09,2026-08-09|2026-08-01|2026-08-02|2026-08-03|2026-08-04,0.816|0.408|0.408|0.408|0.408,1.0,0.2,True,1.0,True
rag-006,8月11日体重多少,simple,body,2026-08-11,2026-08-11|2026-08-01|2026-08-02|2026-08-03|2026-08-04,0.816|0.408|0.408|0.408|0.408,1.0,0.2,True,1.0,True
rag-007,8月12日体重多少,simple,body,2026-08-12,2026-08-12|2026-08-01|2026-08-02|2026-08-03|2026-08-04,0.816|0.408|0.408|0.408|0.408,1.0,0.2,True,1.0,True
rag-008,8月13日体重多少,simple,body,2026-08-13,2026-08-13|2026-08-01|2026-08-02|2026-08-03|2026-08-04,0.816|0.408|0.408|0.408|0.408,1.0,0.2,True,1.0,True
rag-009,8月14日体重多少,simple,body,2026-08-14,2026-08-14|2026-08-01|2026-08-02|2026-08-03|2026-08-04,0.816|0.408|0.408|0.408|0.408,1.0,0.2,True,1.0,True
rag-010,8月15日体重多少,simple,body,2026-08-15,2026-08-15|2026-08-01|2026-08-02|2026-08-03|2026-08-04,0.707|0.408|0.408|0.408|0.408,1.0,0.2,True,1.0,True
rag-011,8月16日体重多少,simple,body,2026-08-16,2026-08-16|2026-08-01|2026-08-02|2026-08-03|2026-08-04,0.816|0.408|0.408|0.408|0.408,1.0,0.2,True,1.0,True
rag-012,8月17日体重多少,simple,body,2026-08-17,2026-08-17|2026-08-01|2026-08-02|2026-08-03|2026-08-04,0.816|0.408|0.408|0.408|0.408,1.0,0.2,True,1.0,True
rag-013,8月19日体重多少,simple,body,2026-08-19,2026-08-19|2026-08-01|2026-08-02|2026-08-03|2026-08-04,0.816|0.408|0.408|0.408|0.408,1.0,0.2,True,1.0,True
rag-014,8月5日体脂率,simple,body,2026-08-05,2026-08-05|2026-08-15,0.707|0.354,1.0,0.5,True,1.0,True
rag-015,8月10日体脂率,simple,body,2026-08-10,2026-08-10|2026-08-05|2026-08-15,0.632|0.354|0.354,1.0,0.3333333333333333,True,1.0,True
rag-016,8月15日体脂率,simple,body,2026-08-15,2026-08-15|2026-08-05,0.707|0.354,1.0,0.5,True,1.0,True
rag-017,8月20日体脂率,simple,body,2026-08-20,2026-08-20|2026-08-05|2026-08-15,0.632|0.354|0.354,1.0,0.3333333333333333,True,1.0,True
rag-018,8月20日体重记录,simple,body,2026-08-20,2026-08-20|2026-08-01|2026-08-02|2026-08-03|2026-08-04,0.632|0.408|0.408|0.408|0.408,1.0,0.2,True,1.0,True
rag-019,8月1日与8月20日体重变化,medium,body,2026-08-01|2026-08-20,2026-08-01|2026-08-20,0.667|0.516,1.0,1.0,True,1.0,True
rag-020,体重减脂趋势,medium,body,2026-08-01|2026-08-20,2026-08-01|2026-08-02|2026-08-03|2026-08-04|2026-08-06,0.408|0.408|0.408|0.408|0.408,0.5,0.2,True,1.0,True
rag-021,上旬体重记录,medium,body,2026-08-01|2026-08-02|2026-08-03|2026-08-04|2026-08-05|2026-08-06|2026-08-07,2026-08-01|2026-08-02|2026-08-03|2026-08-04|2026-08-06,0.816|0.816|0.816|0.816|0.816,0.7142857142857143,1.0,True,1.0,True
rag-022,下旬体重情况,medium,body,2026-08-15|2026-08-16|2026-08-17|2026-08-18|2026-08-19|2026-08-20,2026-08-16|2026-08-17|2026-08-18|2026-08-19|2026-08-15,0.816|0.816|0.816|0.816|0.707,0.8333333333333334,1.0,True,1.0,True
rag-023,8月5日8月10日体脂率,medium,body,2026-08-05|2026-08-10,2026-08-05|2026-08-10,0.577|0.516,1.0,1.0,True,1.0,True
rag-024,8月10日8月20日腰围,medium,body,2026-08-10|2026-08-20,2026-08-10|2026-08-20,0.516|0.516,1.0,1.0,True,1.0,True
rag-025,上旬体重汇总,medium,body,2026-08-01|2026-08-02|2026-08-03|2026-08-04|2026-08-05|2026-08-06|2026-08-07,2026-08-01|2026-08-02|2026-08-03|2026-08-04|2026-08-06,0.816|0.816|0.816|0.816|0.816,0.7142857142857143,1.0,True,1.0,True
rag-026,下旬体重记录,medium,body,2026-08-15|2026-08-16|2026-08-17|2026-08-18|2026-08-19|2026-08-20,2026-08-16|2026-08-17|2026-08-18|2026-08-19|2026-08-15,0.816|0.816|0.816|0.816|0.707,0.8333333333333334,1.0,True,1.0,True
rag-027,8月1日8月10日8月15日体重体脂,complex,body,2026-08-01|2026-08-10|2026-08-15,2026-08-15|2026-08-10|2026-08-01|2026-08-05|2026-08-20,0.671|0.600|0.516|0.447|0.400,1.0,0.6,True,1.0,True
rag-028,上旬下旬体重体脂腰围,complex,body,2026-08-01|2026-08-05|2026-08-10|2026-08-15|2026-08-20,2026-08-20|2026-08-05|2026-08-15|2026-08-10|2026-08-01,0.800|0.671|0.671|0.600|0.516,1.0,1.0,True,1.0,True
rag-029,8月5日8月15日减脂体重体脂,complex,body,2026-08-05|2026-08-10|2026-08-15|2026-08-20,2026-08-05|2026-08-15|2026-08-10|2026-08-20,0.671|0.671|0.400|0.400,1.0,1.0,True,1.0,True
rag-030,8月1日鸡胸肉午餐蛋白质,simple,nutrition,2026-08-01:lunch,2026-08-01:lunch|2026-08-03:lunch|2026-08-05:lunch|2026-08-08:lunch|2026-08-10:lunch,0.912|0.798|0.798|0.798|0.798,1.0,0.2,True,1.0,True
rag-031,8月2日牛肉饭午餐蛋白质,simple,nutrition,2026-08-02:lunch,2026-08-02:lunch|2026-08-01:lunch|2026-08-02:dinner|2026-08-03:lunch|2026-08-05:lunch,0.845|0.714|0.714|0.714|0.714,1.0,0.2,True,1.0,True
rag-032,8月3日鸡蛋午餐蛋白质,simple,nutrition,2026-08-03:lunch,2026-08-03:lunch|2026-08-01:lunch|2026-08-05:lunch|2026-08-08:lunch|2026-08-10:lunch,0.912|0.798|0.798|0.798|0.798,1.0,0.2,True,1.0,True
rag-033,8月4日燕麦午餐蛋白质,simple,nutrition,2026-08-04:lunch,2026-08-04:lunch|2026-08-01:lunch|2026-08-03:lunch|2026-08-04:dinner|2026-08-05:lunch,0.845|0.714|0.714|0.714|0.714,1.0,0.2,True,1.0,True
rag-034,8月5日三文鱼午餐蛋白质,simple,nutrition,2026-08-05:lunch,2026-08-05:lunch|2026-08-01:lunch|2026-08-03:lunch|2026-08-08:lunch|2026-08-10:lunch,0.912|0.798|0.798|0.798|0.798,1.0,0.2,True,1.0,True
rag-035,8月6日米饭午餐蛋白质,simple,nutrition,2026-08-06:lunch,2026-08-06:lunch|2026-08-01:lunch|2026-08-03:lunch|2026-08-05:lunch|2026-08-08:lunch,0.845|0.714|0.714|0.714|0.714,1.0,0.2,True,1.0,True
rag-036,8月1日牛肉饭晚餐热量,simple,nutrition,2026-08-01:dinner,2026-08-01:dinner|2026-08-01:breakfast|2026-08-03:dinner|2026-08-05:dinner|2026-08-06:dinner,0.671|0.447|0.447|0.447|0.447,1.0,0.2,True,1.0,True
rag-037,8月2日三文鱼晚餐热量,simple,nutrition,2026-08-02:dinner,2026-08-02:dinner|2026-08-04:dinner|2026-08-07:dinner|2026-08-09:dinner|2026-08-12:dinner,0.756|0.567|0.567|0.567|0.567,1.0,0.2,True,1.0,True
rag-038,8月3日豆腐晚餐热量,simple,nutrition,2026-08-03:dinner,2026-08-03:dinner|2026-08-01:dinner|2026-08-05:dinner|2026-08-06:dinner|2026-08-08:dinner,0.671|0.447|0.447|0.447|0.447,1.0,0.2,True,1.0,True
rag-039,8月4日鸡胸肉晚餐热量,simple,nutrition,2026-08-04:dinner,2026-08-04:dinner|2026-08-02:dinner|2026-08-07:dinner|2026-08-09:dinner|2026-08-12:dinner,0.756|0.567|0.567|0.567|0.567,1.0,0.2,True,1.0,True
rag-040,8月5日米饭晚餐热量,simple,nutrition,2026-08-05:dinner,2026-08-05:dinner|2026-08-01:dinner|2026-08-03:dinner|2026-08-05:breakfast|2026-08-06:dinner,0.671|0.447|0.447|0.447|0.447,1.0,0.2,True,1.0,True
rag-041,8月6日牛肉饭晚餐热量,simple,nutrition,2026-08-06:dinner,2026-08-06:dinner|2026-08-01:dinner|2026-08-03:dinner|2026-08-05:dinner|2026-08-06:lunch,0.671|0.447|0.447|0.447|0.447,1.0,0.2,True,1.0,True
rag-042,8月7日三文鱼晚餐热量,simple,nutrition,2026-08-07:dinner,2026-08-07:dinner|2026-08-02:dinner|2026-08-04:dinner|2026-08-09:dinner|2026-08-12:dinner,0.756|0.567|0.567|0.567|0.567,1.0,0.2,True,1.0,True
rag-043,8月8日豆腐晚餐热量,simple,nutrition,2026-08-08:dinner,2026-08-08:dinner|2026-08-01:dinner|2026-08-03:dinner|2026-08-05:dinner|2026-08-06:dinner,0.671|0.447|0.447|0.447|0.447,1.0,0.2,True,1.0,True
rag-044,8月1日鸡胸肉午餐,simple,nutrition,2026-08-01:lunch,2026-08-01:lunch|2026-08-01:breakfast|2026-08-03:lunch|2026-08-05:lunch|2026-08-08:lunch,0.873|0.775|0.655|0.655|0.655,1.0,0.2,True,1.0,True
rag-045,8月2日牛肉饭午餐,simple,nutrition,2026-08-02:lunch,2026-08-02:lunch|2026-08-01:breakfast|2026-08-04:lunch|2026-08-05:breakfast|2026-08-06:lunch,0.775|0.516|0.516|0.516|0.516,1.0,0.2,True,1.0,True
rag-046,8月3日鸡蛋午餐蛋白质,simple,nutrition,2026-08-03:lunch,2026-08-03:lunch|2026-08-01:lunch|2026-08-05:lunch|2026-08-08:lunch|2026-08-10:lunch,0.912|0.798|0.798|0.798|0.798,1.0,0.2,True,1.0,True
rag-047,8月5日三文鱼晚餐,simple,nutrition,2026-08-05:dinner,2026-08-05:dinner|2026-08-02:dinner|2026-08-04:dinner|2026-08-05:lunch|2026-08-07:dinner,0.775|0.655|0.655|0.655|0.655,1.0,0.2,True,1.0,True
rag-048,8月6日米饭午餐,simple,nutrition,2026-08-06:lunch,2026-08-06:lunch|2026-08-01:breakfast|2026-08-02:lunch|2026-08-04:lunch|2026-08-05:breakfast,0.775|0.516|0.516|0.516|0.516,1.0,0.2,True,1.0,True
rag-049,8月9日燕麦早餐,simple,nutrition,2026-08-09:breakfast,2026-08-09:breakfast|2026-08-09:lunch|2026-08-01:breakfast|2026-08-02:lunch|2026-08-04:lunch,0.775|0.775|0.516|0.516|0.516,1.0,0.2,True,1.0,True
rag-050,近三天午餐蛋白质,medium,nutrition,2026-08-01:lunch|2026-08-02:lunch|2026-08-03:lunch,2026-08-01:lunch|2026-08-03:lunch|2026-08-05:lunch|2026-08-08:lunch|2026-08-10:lunch,0.845|0.845|0.845|0.845|0.845,0.6666666666666666,0.4,True,1.0,True
rag-051,8月1日至5日晚餐热量,medium,nutrition,2026-08-01:dinner|2026-08-02:dinner|2026-08-03:dinner|2026-08-04:dinner|2026-08-05:dinner,2026-08-01:dinner,0.516,0.2,1.0,True,1.0,True
rag-052,8月1日饮食记录汇总,medium,nutrition,2026-08-01:lunch|2026-08-01:dinner,2026-08-01:breakfast|2026-08-01:dinner,0.632|0.632,0.5,0.5,True,0.5,False
rag-053,8月1日至7日午餐摄入,medium,nutrition,2026-08-01:lunch|2026-08-02:lunch|2026-08-03:lunch|2026-08-04:lunch|2026-08-05:lunch|2026-08-06:lunch|2026-08-07:lunch,2026-08-01:breakfast|2026-08-01:lunch,0.632|0.535,0.14285714285714285,0.5,True,0.5,False
rag-054,8月1日蛋白质摄入,medium,nutrition,2026-08-01:lunch,2026-08-01:lunch|2026-08-02:dinner|2026-08-03:lunch|2026-08-04:dinner|2026-08-05:lunch,0.845|0.676|0.676|0.676|0.676,1.0,0.2,True,1.0,True
rag-055,8月2日三文鱼热量摄入,medium,nutrition,2026-08-02:dinner,2026-08-02:dinner|2026-08-02:lunch|2026-08-01:lunch|2026-08-03:lunch|2026-08-04:dinner,0.655|0.516|0.436|0.436|0.436,1.0,0.2,True,1.0,True
rag-056,8月1日早餐燕麦,medium,nutrition,2026-08-01:breakfast,2026-08-01:breakfast|2026-08-01:dinner|2026-08-02:lunch|2026-08-04:lunch|2026-08-05:breakfast,0.775|0.516|0.516|0.516|0.516,1.0,0.2,True,1.0,True
rag-057,8月1日鸡胸肉午餐,medium,nutrition,2026-08-01:lunch,2026-08-01:lunch|2026-08-01:breakfast|2026-08-03:lunch|2026-08-05:lunch|2026-08-08:lunch,0.873|0.775|0.655|0.655|0.655,1.0,0.2,True,1.0,True
rag-058,8月2日三文鱼晚餐,medium,nutrition,2026-08-02:dinner,2026-08-02:dinner|2026-08-04:dinner|2026-08-07:dinner|2026-08-09:dinner|2026-08-12:dinner,0.873|0.655|0.655|0.655|0.655,1.0,0.2,True,1.0,True
rag-059,8月3日豆腐晚餐碳水,medium,nutrition,2026-08-03:dinner,2026-08-03:dinner|2026-08-01:dinner|2026-08-05:dinner|2026-08-06:dinner|2026-08-08:dinner,0.671|0.447|0.447|0.447|0.447,1.0,0.2,True,1.0,True
rag-060,8月1日至7日午餐晚餐汇总,complex,nutrition,2026-08-01:lunch|2026-08-02:lunch|2026-08-03:lunch|2026-08-04:lunch|2026-08-05:lunch|2026-08-06:lunch|2026-08-07:lunch|2026-08-01:dinner|2026-08-02:dinner|2026-08-03:dinner|2026-08-04:dinner|2026-08-05:dinner|2026-08-06:dinner|2026-08-07:dinner,2026-08-01:breakfast|2026-08-01:dinner|2026-08-01:lunch,0.516|0.516|0.436,0.14285714285714285,0.6666666666666666,True,0.5,False
rag-061,8月1日至5日午餐晚餐,complex,nutrition,2026-08-01:lunch|2026-08-02:lunch|2026-08-03:lunch|2026-08-04:lunch|2026-08-05:lunch|2026-08-01:dinner|2026-08-02:dinner|2026-08-03:dinner|2026-08-04:dinner|2026-08-05:dinner,2026-08-01:breakfast|2026-08-01:dinner|2026-08-01:lunch,0.516|0.516|0.436,0.2,0.6666666666666666,True,0.5,False
rag-062,8月1日鸡胸肉8月5日三文鱼8月6日豆腐,complex,nutrition,2026-08-01:lunch|2026-08-05:dinner|2026-08-06:lunch,2026-08-01:lunch|2026-08-05:lunch|2026-08-01:breakfast|2026-08-01:dinner|2026-08-05:breakfast,0.668|0.668|0.632|0.632|0.632,0.3333333333333333,0.2,True,1.0,True
rag-063,8月1日至10日午餐晚餐热量,complex,nutrition,2026-08-01:lunch|2026-08-02:lunch|2026-08-03:lunch|2026-08-04:lunch|2026-08-05:lunch|2026-08-06:lunch|2026-08-07:lunch|2026-08-08:lunch|2026-08-09:lunch|2026-08-10:lunch|2026-08-01:dinner|2026-08-02:dinner|2026-08-03:dinner|2026-08-04:dinner|2026-08-05:dinner|2026-08-06:dinner|2026-08-07:dinner|2026-08-08:dinner|2026-08-09:dinner|2026-08-10:dinner,2026-08-01:breakfast|2026-08-01:dinner|2026-08-01:lunch,0.447|0.447|0.378,0.1,0.6666666666666666,True,0.5,False
rag-064,8月1日深蹲训练记录,simple,fitness,1,1|7|11|15|9,0.873|0.655|0.655|0.655|0.577,1.0,0.2,True,1.0,True
rag-065,8月2日卧推胸部训练,simple,fitness,2,2|8|12|4|10,0.894|0.671|0.671|0.567|0.567,1.0,0.2,True,1.0,True
rag-066,8月3日硬拉背部训练,simple,fitness,3,3|1|4|7|10,0.894|0.567|0.567|0.567|0.567,1.0,0.2,True,1.0,True
rag-067,8月4日引体向上背部,simple,fitness,4,4|10|5|14|2,0.845|0.676|0.447|0.447|0.400,1.0,0.2,True,1.0,True
rag-068,8月5日杠铃划船训练,simple,fitness,5,5|4|10|14|6,0.866|0.655|0.655|0.577|0.522,1.0,0.2,True,1.0,True
rag-069,8月6日跑步有氧训练,simple,fitness,6,6|13|1|7|11,0.953|0.858|0.717|0.717|0.717,1.0,0.2,True,1.0,True
rag-070,8月7日腿部深蹲记录,simple,fitness,7,7|1|11|15|9,0.873|0.655|0.655|0.655|0.577,1.0,0.2,True,1.0,True
rag-071,8月8日胸部卧推重量,simple,fitness,8,8|2|12|4|10,0.775|0.516|0.516|0.436|0.436,1.0,0.2,True,1.0,True
rag-072,8月9日硬拉训练详情,simple,fitness,9,9|1|7|11|15,0.866|0.655|0.655|0.655|0.655,1.0,0.2,True,1.0,True
rag-073,8月10日引体训练记录,simple,fitness,10,10|4|5|14|6,0.873|0.655|0.577|0.577|0.522,1.0,0.2,True,1.0,True
rag-074,8月11日深蹲腿部训练,simple,fitness,11,11|1|7|15|6,0.926|0.772|0.772|0.772|0.739,1.0,0.2,True,1.0,True
rag-075,8月12日卧推训练重量,simple,fitness,12,12|6|13|2|8,0.775|0.522|0.522|0.516|0.516,1.0,0.2,True,1.0,True
rag-076,8月13日跑步有氧记录,simple,fitness,13,13|6|1|7|11,0.944|0.809|0.676|0.676|0.676,1.0,0.2,True,1.0,True
rag-077,8月14日划船背部训练,simple,fitness,14,14|4|10|5|2,0.816|0.772|0.772|0.612|0.548,1.0,0.2,True,1.0,True
rag-078,8月15日深蹲训练情况,simple,fitness,15,15|1|7|11|9,0.873|0.655|0.655|0.655|0.577,1.0,0.2,True,1.0,True
rag-079,8月1日腿部训练,simple,fitness,1,1|6|13|7|11,0.845|0.809|0.809|0.676|0.676,1.0,0.2,True,1.0,True
rag-080,8月2日胸部卧推,simple,fitness,2,2|8|12|4|10,0.775|0.516|0.516|0.436|0.436,1.0,0.2,True,1.0,True
rag-081,8月6日有氧跑步,simple,fitness,6,6|13|1|7|11,0.944|0.809|0.676|0.676|0.676,1.0,0.2,True,1.0,True
rag-082,8月3日背部硬拉,simple,fitness,3,3|4|10,0.775|0.436|0.436,1.0,0.3333333333333333,True,1.0,True
